state_name,district_name,location,latitude,longitude
Madhya Pradesh,Guna,"Guna, Madhya Pradesh, India",24.5001772,77.2600959
Madhya Pradesh,Gwalior,"Gwalior, Madhya Pradesh, India",26.2037247,78.1573628
Madhya Pradesh,Harda,"Harda, Madhya Pradesh, India",22.2427972,77.1179173
Madhya Pradesh,Hoshangabad,"Hoshangabad, Madhya Pradesh, India",22.7545538,77.7198249
Madhya Pradesh,Indore,"Indore, Madhya Pradesh, India",22.7203616,75.8681996
Madhya Pradesh,Jabalpur,"Jabalpur, Madhya Pradesh, India",23.1701522,79.9324505
Madhya Pradesh,Jhabua,"Jhabua, Madhya Pradesh, India",22.8869652,74.7243249
Madhya Pradesh,Katni,"Katni, Madhya Pradesh, India",23.7176393,80.2610181
Madhya Pradesh,Khandwa,"Khandwa, Madhya Pradesh, India",21.8203752,76.3555424
Madhya Pradesh,Khargone,"Khargone, Madhya Pradesh, India",21.9544729,75.7521248
Madhya Pradesh,Mandla,"Mandla, Madhya Pradesh, India",22.6871074,80.5816341
Madhya Pradesh,Mandsaur,"Mandsaur, Madhya Pradesh, India",24.2628148,75.385692
Madhya Pradesh,Morena,"Morena, Madhya Pradesh, India",26.3849794,77.8612721
Madhya Pradesh,Narsinghpur,"Narsinghpur, Madhya Pradesh, India",22.934556,79.0867849
Madhya Pradesh,Neemuch,"Neemuch, Madhya Pradesh, India",24.6305517,75.1829
Madhya Pradesh,Panna,"Panna, Madhya Pradesh, India",24.4498931,80.1462723
Madhya Pradesh,Raisen,"Raisen, Madhya Pradesh, India",23.2675909,78.1727134
Madhya Pradesh,Rajgarh,"Rajgarh, Madhya Pradesh, India",23.8716706,76.7744703
Madhya Pradesh,Ratlam,"Ratlam, Madhya Pradesh, India",23.50222,74.9551534
Madhya Pradesh,Rewa,"Rewa, Madhya Pradesh, India",24.7560846,81.3810574
Madhya Pradesh,Sagar,"Sagar, Madhya Pradesh, India",23.8083076,78.758254
Madhya Pradesh,Satna,"Satna, Madhya Pradesh, India",24.6954445,80.7770348
Madhya Pradesh,Sehore,"Sehore, Madhya Pradesh, India",23.1150041,77.0665356
Madhya Pradesh,Seoni,"Seoni, Madhya Pradesh, India",22.2748109,79.7202522
Madhya Pradesh,Shahdol,"Shahdol, Madhya Pradesh, India",23.3002343,81.364771
Madhya Pradesh,Shajapur,"Shajapur, Madhya Pradesh, India",23.4171001,76.6074794
Madhya Pradesh,Sheopur,"Sheopur, Madhya Pradesh, India",25.7499266,76.9212945
Madhya Pradesh,Shivpuri,"Shivpuri, Madhya Pradesh, India",25.3741215,77.8278866
Madhya Pradesh,Sidhi,"Sidhi, Madhya Pradesh, India",24.2112687,81.7000415
Madhya Pradesh,Singrauli,"Singrauli, Madhya Pradesh, India",24.2431343,82.3827672
Madhya Pradesh,Tikamgarh,"Tikamgarh, Madhya Pradesh, India",24.8552105,79.0472546
Madhya Pradesh,Ujjain,"Ujjain, Madhya Pradesh, India",23.1885131,75.7716562
Madhya Pradesh,Umaria,"Umaria, Madhya Pradesh, India",23.6431837,80.9419078
Madhya Pradesh,Vidisha,"Vidisha, Madhya Pradesh, India",23.8463003,77.8370209
Maharashtra,Ahmednagar,"Ahmednagar, Maharashtra, India",19.1627725,74.8580243
Maharashtra,Akola,"Akola, Maharashtra, India",20.7618122,77.1921157
Maharashtra,Amravati,"Amravati, Maharashtra, India",21.1545412,77.6442962
Maharashtra,Aurangabad,"Aurangabad, Maharashtra, India",19.877263,75.3390241
Maharashtra,Beed,"Beed, Maharashtra, India",18.9918442,75.909784
Maharashtra,Bhandara,"Bhandara, Maharashtra, India",21.1225869,79.794509
Maharashtra,Buldhana,"Buldhana, Maharashtra, India",20.562845,76.4086986
Maharashtra,Chandrapur,"Chandrapur, Maharashtra, India",20.0967555,79.5045475
Maharashtra,Dhule,"Dhule, Maharashtra, India",21.1305215,74.4900614
